lat,lon,date,site,quantification_kg_h,source
32.8218205,-111.785773,2022-10-25,"Casa Grande, AZ",1036.01616,SBR 2022
32.8218205,-111.785773,2022-10-26,"Casa Grande, AZ",77.786952,SBR 2022
32.8218205,-111.785773,2022-11-02,"Casa Grande, AZ",795.414,SBR 2022
32.8218205,-111.785773,2022-11-03,"Casa Grande, AZ",1370.18808,SBR 2022
32.8218205,-111.785773,2022-11-10,"Casa Grande, AZ",1218.16152,SBR 2022
32.8218205,-111.785773,2022-11-11,"Casa Grande, AZ",1453.8246,SBR 2022
32.8218205,-111.785773,2022-11-18,"Casa Grande, AZ",1558.76112,SBR 2022
32.82179166,-111.7861234,2024-11-07,"Casa Grande, AZ",0.0,SBR 2024
32.82179166,-111.7861234,2024-11-08,"Casa Grande, AZ",0.0,SBR 2024
32.82179166,-111.7861234,2024-11-15,"Casa Grande, AZ",1044.51956,SBR 2024
32.82179166,-111.7861234,2024-11-16,"Casa Grande, AZ",827.1365023,SBR 2024
32.82179166,-111.7861234,2024-11-23,"Casa Grande, AZ",0.0,SBR 2024
32.82179166,-111.7861234,2024-11-24,"Casa Grande, AZ",1161.889384,SBR 2024
32.82179166,-111.7861234,2024-12-01,"Casa Grande, AZ",0.0,SBR 2024
32.82179166,-111.7861234,2024-12-02,"Casa Grande, AZ",733.3570107,SBR 2024
32.82179166,-111.7861234,2024-12-09,"Casa Grande, AZ",945.0088068,SBR 2024
32.82179166,-111.7861234,2024-12-10,"Casa Grande, AZ",0.0,SBR 2024
32.82179166,-111.7861234,2024-12-17,"Casa Grande, AZ",0.0,SBR 2024
32.82179166,-111.7861234,2024-12-18,"Casa Grande, AZ",0.0,SBR 2024
32.82179166,-111.7861234,2024-12-25,"Casa Grande, AZ",0.0,SBR 2024
32.82179166,-111.7861234,2024-12-26,"Casa Grande, AZ",898.9666064,SBR 2024
33.630637,-114.487755,2021-10-21,"Ehrenberg, AZ",4188.58,SBR 2021
33.630637,-114.487755,2021-10-28,"Ehrenberg, AZ",2078.2,SBR 2021
41.276,-110.93,2024-08-02,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-08-03,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-08-04,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-08-10,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-08-11,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-08-12,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-08-18,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-08-19,"Evanston, WY",697.0094043,SBR 2024
41.276,-110.93,2024-08-26,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-08-28,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-09-03,"Evanston, WY",1019.325846,SBR 2024
41.276,-110.93,2024-09-04,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-09-05,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-09-11,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-09-13,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-09-19,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-09-21,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-09-27,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-09-28,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-09-29,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-10-05,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-10-06,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-10-07,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-10-13,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-10-15,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-10-21,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-10-22,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-10-23,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-10-29,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-10-30,"Evanston, WY",0.0,SBR 2024
41.276,-110.93,2024-10-31,"Evanston, WY",0.0,SBR 2024
